Public health unit,Date,Outbreak,Close contact,No known epi-link,Travel,No information,Epi link - type unspecified
Ontario,"January 15, 2020",0,0,0,0,0,0
Ontario,"January 16, 2020",0,0,0,0,0,0
Ontario,"January 17, 2020",0,0,0,0,0,0
Ontario,"January 18, 2020",0,0,0,0,0,0
Ontario,"January 19, 2020",0,0,0,0,0,0
Ontario,"January 20, 2020",0,0,0,0,0,0
Ontario,"January 21, 2020",0,0,0,0,0,0
Ontario,"January 22, 2020",0,0,0,0,0,0
Ontario,"January 23, 2020",0,0,0,2,0,0
Ontario,"January 24, 2020",0,0,0,1,0,0
Ontario,"January 25, 2020",0,0,0,0,0,0
Ontario,"January 26, 2020",0,0,0,0,0,0
Ontario,"January 27, 2020",0,0,0,0,0,0
Ontario,"January 28, 2020",0,0,0,0,0,0
Ontario,"January 29, 2020",0,0,0,0,0,0
Ontario,"January 30, 2020",0,0,0,0,0,0
Ontario,"January 31, 2020",0,0,0,0,0,0
Ontario,"February 1, 2020",0,0,0,0,0,0
Ontario,"February 2, 2020",0,0,0,0,0,0
Ontario,"February 3, 2020",0,0,0,0,0,0
Ontario,"February 4, 2020",0,0,0,0,0,0
Ontario,"February 5, 2020",0,0,0,0,0,0
Ontario,"February 6, 2020",0,0,0,0,0,0
Ontario,"February 7, 2020",0,0,0,0,0,0
Ontario,"February 8, 2020",0,0,0,0,0,0
Ontario,"February 9, 2020",0,0,0,0,0,0
Ontario,"February 10, 2020",0,0,0,0,0,0
Ontario,"February 11, 2020",0,0,0,0,0,0
Ontario,"February 12, 2020",0,0,0,0,0,0
Ontario,"February 13, 2020",0,0,0,0,0,0
Ontario,"February 14, 2020",0,0,0,0,0,0
Ontario,"February 15, 2020",0,0,0,0,0,0
Ontario,"February 16, 2020",0,0,0,0,0,0
Ontario,"February 17, 2020",0,0,0,0,0,0
Ontario,"February 18, 2020",0,0,0,0,0,0
Ontario,"February 19, 2020",0,0,0,0,0,0
Ontario,"February 20, 2020",0,0,0,0,0,0
Ontario,"February 21, 2020",0,0,0,1,0,0
Ontario,"February 22, 2020",0,0,0,0,0,0
Ontario,"February 23, 2020",0,0,0,0,0,0
Ontario,"February 24, 2020",0,0,0,0,0,0
Ontario,"February 25, 2020",0,0,0,1,0,0
Ontario,"February 26, 2020",0,0,0,1,0,0
Ontario,"February 27, 2020",1,0,0,1,0,0
Ontario,"February 28, 2020",2,1,0,2,0,0
Ontario,"February 29, 2020",3,0,0,1,0,0
Ontario,"March 1, 2020",0,0,0,2,0,0
Ontario,"March 2, 2020",0,0,0,0,0,0
Ontario,"March 3, 2020",0,0,0,2,0,0
Ontario,"March 4, 2020",0,0,0,1,0,0
Ontario,"March 5, 2020",0,0,0,4,0,0
Ontario,"March 6, 2020",1,0,0,2,0,0
Ontario,"March 7, 2020",0,0,0,3,0,0
Ontario,"March 8, 2020",1,0,0,4,0,0
Ontario,"March 9, 2020",0,1,0,5,0,0
Ontario,"March 10, 2020",0,3,0,6,0,0
Ontario,"March 11, 2020",1,5,0,17,0,0
Ontario,"March 12, 2020",0,5,6,26,0,0
Ontario,"March 13, 2020",1,6,2,26,1,0
Ontario,"March 14, 2020",0,4,3,25,0,0
Ontario,"March 15, 2020",1,1,3,31,0,0
Ontario,"March 16, 2020",0,9,9,34,1,0
Ontario,"March 17, 2020",2,6,10,41,0,0
Ontario,"March 18, 2020",2,14,11,30,2,0
Ontario,"March 19, 2020",9,10,17,29,4,0
Ontario,"March 20, 2020",15,18,24,41,1,0
Ontario,"March 21, 2020",16,12,20,24,0,0
Ontario,"March 22, 2020",17,22,20,26,2,0
Ontario,"March 23, 2020",22,31,37,49,5,0
Ontario,"March 24, 2020",26,31,52,61,4,0
Ontario,"March 25, 2020",18,35,40,44,1,0
Ontario,"March 26, 2020",20,52,96,73,9,0
Ontario,"March 27, 2020",33,61,101,92,10,0
Ontario,"March 28, 2020",38,57,57,77,6,0
Ontario,"March 29, 2020",41,68,64,51,3,0
Ontario,"March 30, 2020",57,132,129,108,12,0
Ontario,"March 31, 2020",71,112,116,97,14,0
Ontario,"April 1, 2020",116,133,109,81,14,1
Ontario,"April 2, 2020",117,135,116,70,12,0
Ontario,"April 3, 2020",197,104,98,59,7,0
Ontario,"April 4, 2020",136,88,85,31,9,0
Ontario,"April 5, 2020",128,116,94,28,5,0
Ontario,"April 6, 2020",221,111,105,33,9,0
Ontario,"April 7, 2020",235,106,85,24,8,0
Ontario,"April 8, 2020",253,131,81,24,4,0
Ontario,"April 9, 2020",230,130,91,31,7,0
Ontario,"April 10, 2020",207,91,76,19,6,0
Ontario,"April 11, 2020",249,120,86,14,7,0
Ontario,"April 12, 2020",375,92,58,20,4,0
Ontario,"April 13, 2020",391,119,74,13,3,0
Ontario,"April 14, 2020",401,78,66,6,7,0
Ontario,"April 15, 2020",455,91,57,8,9,0
Ontario,"April 16, 2020",396,102,63,6,12,0
Ontario,"April 17, 2020",535,122,70,11,14,0
Ontario,"April 18, 2020",396,122,63,6,13,0
Ontario,"April 19, 2020",384,128,57,10,15,0
Ontario,"April 20, 2020",391,114,87,4,18,0
Ontario,"April 21, 2020",352,107,50,6,7,0
Ontario,"April 22, 2020",352,102,79,8,7,0
Ontario,"April 23, 2020",317,114,68,5,6,0
Ontario,"April 24, 2020",218,114,81,6,14,0
Ontario,"April 25, 2020",253,100,59,4,11,0
Ontario,"April 26, 2020",218,79,59,1,10,0
Ontario,"April 27, 2020",275,122,67,1,14,0
Ontario,"April 28, 2020",209,125,72,4,7,0
Ontario,"April 29, 2020",211,97,85,1,12,0
Ontario,"April 30, 2020",253,78,69,3,6,0
Ontario,"May 1, 2020",248,128,90,8,14,0
Ontario,"May 2, 2020",174,98,51,2,8,0
Ontario,"May 3, 2020",178,106,47,0,10,0
Ontario,"May 4, 2020",153,95,73,2,10,0
Ontario,"May 5, 2020",155,145,96,0,13,0
Ontario,"May 6, 2020",181,106,62,2,5,0
Ontario,"May 7, 2020",148,90,60,3,5,0
Ontario,"May 8, 2020",137,102,49,1,9,0
Ontario,"May 9, 2020",154,102,46,1,7,0
Ontario,"May 10, 2020",165,76,48,0,5,0
Ontario,"May 11, 2020",103,65,39,1,8,0
Ontario,"May 12, 2020",118,90,41,2,7,0
Ontario,"May 13, 2020",183,104,67,3,5,0
Ontario,"May 14, 2020",181,98,52,1,10,0
Ontario,"May 15, 2020",204,103,66,4,3,0
Ontario,"May 16, 2020",201,110,46,3,11,0
Ontario,"May 17, 2020",203,135,74,5,4,0
Ontario,"May 18, 2020",162,141,67,1,4,0
Ontario,"May 19, 2020",139,127,57,1,3,0
Ontario,"May 20, 2020",143,151,91,0,3,0
Ontario,"May 21, 2020",125,135,63,3,12,0
Ontario,"May 22, 2020",141,186,69,2,2,0
Ontario,"May 23, 2020",150,152,60,2,3,0
Ontario,"May 24, 2020",116,151,64,3,6,0
Ontario,"May 25, 2020",87,211,91,5,5,0
Ontario,"May 26, 2020",85,123,55,2,8,0
Ontario,"May 27, 2020",107,136,71,2,6,0
Ontario,"May 28, 2020",106,138,74,1,6,0
Ontario,"May 29, 2020",157,234,100,6,109,0
Ontario,"May 30, 2020",100,153,85,3,5,0
Ontario,"May 31, 2020",188,129,86,1,8,0
Ontario,"June 1, 2020",187,143,63,2,1,0
Ontario,"June 2, 2020",122,156,83,2,3,0
Ontario,"June 3, 2020",111,152,76,2,7,0
Ontario,"June 4, 2020",79,135,59,2,4,0
Ontario,"June 5, 2020",79,134,57,2,6,0
Ontario,"June 6, 2020",60,99,58,4,1,0
Ontario,"June 7, 2020",52,102,49,1,3,0
Ontario,"June 8, 2020",81,76,53,4,0,0
Ontario,"June 9, 2020",89,90,33,2,2,0
Ontario,"June 10, 2020",68,110,49,4,5,1
Ontario,"June 11, 2020",43,86,53,1,3,1
Ontario,"June 12, 2020",79,100,50,5,4,2
Ontario,"June 13, 2020",51,69,49,2,0,0
Ontario,"June 14, 2020",33,65,35,10,0,0
Ontario,"June 15, 2020",45,77,50,3,1,1
Ontario,"June 16, 2020",36,87,44,3,3,1
Ontario,"June 17, 2020",60,91,37,3,0,0
Ontario,"June 18, 2020",60,91,42,4,1,0
Ontario,"June 19, 2020",71,74,40,3,1,0
Ontario,"June 20, 2020",37,65,44,6,2,0
Ontario,"June 21, 2020",65,67,35,7,0,0
Ontario,"June 22, 2020",66,74,49,9,3,1
Ontario,"June 23, 2020",27,77,43,3,2,0
Ontario,"June 24, 2020",31,79,36,13,5,0
Ontario,"June 25, 2020",32,69,42,1,2,0
Ontario,"June 26, 2020",43,89,44,3,3,0
Ontario,"June 27, 2020",123,72,27,7,2,0
Ontario,"June 28, 2020",108,58,34,5,0,0
Ontario,"June 29, 2020",22,69,34,5,1,0
Ontario,"June 30, 2020",38,81,49,5,2,1
Ontario,"July 1, 2020",39,68,35,6,2,0
Ontario,"July 2, 2020",44,58,34,4,2,0
Ontario,"July 3, 2020",37,63,42,7,3,0
Ontario,"July 4, 2020",23,70,29,6,0,1
Ontario,"July 5, 2020",9,50,22,11,0,0
Ontario,"July 6, 2020",14,47,33,8,2,1
Ontario,"July 7, 2020",75,41,23,0,0,0
Ontario,"July 8, 2020",52,57,25,7,1,0
Ontario,"July 9, 2020",34,61,37,3,1,0
Ontario,"July 10, 2020",23,67,24,7,3,0
Ontario,"July 11, 2020",27,57,27,12,2,3
Ontario,"July 12, 2020",19,61,26,4,2,1
Ontario,"July 13, 2020",22,48,21,4,1,2
Ontario,"July 14, 2020",20,59,19,7,0,0
Ontario,"July 15, 2020",23,70,28,12,0,0
Ontario,"July 16, 2020",33,71,27,9,2,0
Ontario,"July 17, 2020",57,67,33,8,0,0
Ontario,"July 18, 2020",44,74,41,13,3,0
Ontario,"July 19, 2020",14,61,33,11,2,1
Ontario,"July 20, 2020",40,68,50,13,4,3
Ontario,"July 21, 2020",19,53,33,11,2,0
Ontario,"July 22, 2020",20,69,28,4,2,0
Ontario,"July 23, 2020",60,79,45,8,1,2
Ontario,"July 24, 2020",32,54,38,9,6,0
Ontario,"July 25, 2020",19,56,35,6,1,1
