"TERMS AND CONDITIONS"
"https://www.bankofcanada.ca/terms/"

"NAME"
"COVID-19 stringency index"

"LINK"
"https://www.bankofcanada.ca/?p=219486"

"SERIES"
"id","label","description"
"SAN_LYOJ20210218_C2_S1","Canada"," "
"SAN_LYOJ20210218_C2_S2","Atlantic region*"," "
"SAN_LYOJ20210218_C2_S3","Quebec"," "
"SAN_LYOJ20210218_C2_S4","Ontario"," "
"SAN_LYOJ20210218_C2_S5","Prairies region*"," "
"SAN_LYOJ20210218_C2_S6","British Columbia"," "
"SAN_LYOJ20210218_C2_S7","Newfoundland and Labrador"," "
"SAN_LYOJ20210218_C2_S8","Prince Edward Island"," "
"SAN_LYOJ20210218_C2_S9","Nova Scotia"," "
"SAN_LYOJ20210218_C2_S10","New Brunswick"," "
"SAN_LYOJ20210218_C2_S11","Manitoba"," "
"SAN_LYOJ20210218_C2_S12","Saskatchewan"," "
"SAN_LYOJ20210218_C2_S13","Alberta"," "

"OBSERVATIONS"
"date","SAN_LYOJ20210218_C2_S1","SAN_LYOJ20210218_C2_S2","SAN_LYOJ20210218_C2_S3","SAN_LYOJ20210218_C2_S4","SAN_LYOJ20210218_C2_S5","SAN_LYOJ20210218_C2_S6","SAN_LYOJ20210218_C2_S7","SAN_LYOJ20210218_C2_S8","SAN_LYOJ20210218_C2_S9","SAN_LYOJ20210218_C2_S10","SAN_LYOJ20210218_C2_S11","SAN_LYOJ20210218_C2_S12","SAN_LYOJ20210218_C2_S13"
"2020-01-01","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000"
"2020-01-02","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000"
"2020-01-03","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000"
"2020-01-04","0.1435406","0.0000000","0.0000000","0.0000000","0.5993400","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","3.4722223","0.0000000"
"2020-01-05","0.1435406","0.0000000","0.0000000","0.0000000","0.5993400","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","3.4722223","0.0000000"
"2020-01-06","0.1435406","0.0000000","0.0000000","0.0000000","0.5993400","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","3.4722223","0.0000000"
"2020-01-07","0.1435406","0.0000000","0.0000000","0.0000000","0.5993400","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","3.4722223","0.0000000"
"2020-01-08","0.1435406","0.0000000","0.0000000","0.0000000","0.5993400","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","3.4722223","0.0000000"
"2020-01-09","0.1435406","0.0000000","0.0000000","0.0000000","0.5993400","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","3.4722223","0.0000000"
"2020-01-10","0.1435406","0.0000000","0.0000000","0.0000000","0.5993400","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","0.0000000","3.4722223","0.0000000"
