"GEO_NAME","Division No. 1","Division No. 10","Division No. 11","Division No. 2","Division No. 3","Division No. 4","Division No. 5","Division No. 6","Division No. 7","Division No. 8","Division No. 9"
"Division No. 1",103730,675,0,120,55,30,0,85,200,0,50
"Division No. 10",55,10055,30,0,0,0,0,0,0,0,20
"Division No. 11",0,50,615,0,0,0,0,0,0,0,0
"Division No. 2",680,65,0,4145,50,0,0,0,40,0,0
"Division No. 3",125,60,0,0,3255,105,95,20,0,25,0
"Division No. 4",110,65,0,0,175,4220,145,0,0,20,0
"Division No. 5",235,190,0,0,65,125,13260,45,0,20,95
"Division No. 6",315,125,0,0,0,0,0,11915,90,300,0
"Division No. 7",1130,195,0,0,35,0,0,360,7415,30,40
"Division No. 8",315,180,0,0,20,0,40,765,205,6005,65
"Division No. 9",45,120,0,0,0,0,60,0,0,25,3240
