"GEO_NAME","Algoma","Brant","Bruce","Chatham-Kent","Cochrane","Dufferin","Durham","Elgin","Essex","Frontenac","Greater Sudbury / Grand Sudbury","Grey","Haldimand-Norfolk","Haliburton","Halton","Hamilton","Hastings","Huron","Kawartha Lakes","Kenora","Lambton","Lanark","Leeds and Grenville","Lennox and Addington","Manitoulin","Middlesex","Muskoka","Niagara","Nipissing","Northumberland","Ottawa","Oxford","Parry Sound","Peel","Perth","Peterborough","Prescott and Russell","Prince Edward","Rainy River","Renfrew","Simcoe","Stormont. Dundas and Glengarry","Sudbury","Thunder Bay","Timiskaming","Toronto","Waterloo","Wellington","York"
"Algoma",38420,0,0,0,65,0,0,0,0,20,200,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,50,0,45,0,0,35,0,0,0,0,0,0,0,0,360,145,0,60,25,0,0
"Brant",0,36720,0,0,0,0,35,20,0,0,0,0,1395,0,1670,5210,0,0,0,0,0,0,0,0,0,325,0,160,0,0,45,1735,0,885,55,0,0,0,0,0,40,0,0,0,0,680,4750,575,125
"Bruce",0,0,18110,0,0,25,65,0,0,0,0,3565,0,0,40,35,0,775,0,0,0,0,0,0,20,80,0,20,0,0,25,35,0,120,160,0,0,0,0,0,105,0,0,0,0,150,250,415,20
"Chatham-Kent",0,20,0,31770,0,0,0,215,2860,0,0,0,0,0,0,30,0,0,0,0,1570,0,0,0,0,635,20,20,0,0,25,85,0,45,0,20,0,0,0,0,0,0,0,0,0,90,135,35,0
"Cochrane",65,0,0,0,30520,0,35,0,0,0,65,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,165,35,185,40,0,0,0
"Dufferin",0,0,0,0,0,11895,35,0,0,0,0,140,0,0,490,0,0,0,0,0,0,0,0,0,0,45,0,25,0,0,20,0,0,7810,30,0,0,0,0,0,1335,0,0,0,0,1675,225,955,1070
"Durham",0,25,60,0,70,0,144420,20,25,155,20,30,0,30,480,200,155,0,900,20,0,0,0,0,0,125,95,135,35,1275,350,25,0,6420,0,1265,0,0,0,50,550,0,0,30,0,79890,220,120,24130
"Elgin",0,55,0,270,0,0,20,18960,75,0,0,0,390,0,95,40,0,25,0,0,85,0,30,0,0,9920,0,0,0,0,0,2625,0,80,80,0,0,0,0,0,0,0,0,0,0,80,150,50,0
"Essex",0,0,20,2270,0,0,45,25,145060,20,0,0,0,0,165,45,0,0,0,0,100,0,0,0,0,255,0,30,0,0,85,40,0,170,0,20,0,0,0,0,50,0,0,0,0,390,110,60,50
"Frontenac",0,0,0,0,20,0,70,0,0,53475,0,0,0,0,0,40,440,0,0,25,0,230,950,2505,0,25,0,0,0,20,390,0,0,80,0,30,0,60,0,20,35,40,0,0,0,305,45,0,80
"Greater Sudbury / Grand Sudbury",100,0,20,0,135,0,0,0,0,0,63130,0,0,0,0,0,0,20,0,110,0,0,0,0,55,20,0,0,165,0,95,0,40,30,0,0,0,0,0,0,20,0,610,50,95,65,30,0,35
"Grey",0,0,2700,0,0,900,40,0,0,0,0,23970,0,0,120,50,0,70,0,0,0,0,0,0,0,60,0,40,0,0,30,0,0,530,80,0,0,0,0,0,1795,0,0,0,0,520,320,1680,145
"Haldimand-Norfolk",0,3240,30,0,0,0,35,435,0,0,0,0,23565,0,1105,6320,0,0,0,0,0,0,0,0,0,180,0,1140,0,0,30,2810,0,360,0,20,0,0,0,0,35,0,0,0,0,385,510,90,55
"Haliburton",0,0,0,0,0,0,180,0,0,0,0,0,0,3630,20,0,240,0,205,0,0,0,0,0,0,0,100,0,0,0,0,0,0,80,0,80,0,0,0,0,85,0,0,0,0,205,20,0,145
"Halton",0,575,30,20,0,95,250,25,35,60,0,25,120,0,112535,11825,20,20,0,0,35,0,0,0,0,265,60,1130,20,0,290,85,20,55050,50,30,0,0,0,0,185,0,0,0,0,38150,2450,2255,4220
"Hamilton",0,3135,35,0,0,30,165,0,45,55,0,25,1450,0,35700,142615,20,20,0,20,25,0,0,0,0,245,20,4350,0,0,195,275,20,9790,45,30,0,0,0,0,80,0,0,0,0,8120,3240,1845,965
"Hastings",0,0,0,0,0,0,365,0,0,905,0,20,0,40,20,0,42470,0,0,30,0,20,25,1345,0,20,0,25,50,1425,140,0,0,115,0,405,0,1075,0,120,45,0,0,0,0,440,45,20,75
"Huron",0,0,840,0,0,0,0,0,0,0,0,40,0,0,20,20,0,15335,0,0,380,0,0,0,0,1010,0,0,0,0,0,75,0,75,2355,0,0,0,0,0,0,0,0,0,0,70,475,340,0
"Kawartha Lakes",0,0,0,0,0,0,4655,0,0,0,0,0,0,220,45,30,40,0,13715,0,0,0,0,0,0,0,20,0,0,100,45,0,0,185,0,2905,0,0,0,0,635,0,0,0,0,995,45,20,1210
"Kenora",0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,60,0,0,0,0,0
"Lambton",0,0,60,1160,0,0,0,50,100,0,0,0,20,0,45,65,0,380,0,0,41295,0,0,0,0,2200,0,50,0,0,45,60,0,55,55,0,0,0,0,0,25,0,0,0,0,140,75,45,30
"Lanark",0,0,0,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0,0,0,0,13880,800,0,0,0,0,0,0,0,9225,0,0,0,0,0,20,0,0,370,0,25,0,0,0,35,25,0,0
"Leeds and Grenville",0,0,0,0,0,0,40,0,0,2855,0,0,0,0,0,35,45,0,0,0,0,2405,24405,60,0,25,0,25,0,0,5755,0,0,45,0,20,25,0,0,20,25,740,0,0,0,120,25,0,0
"Lennox and Addington",0,0,0,0,0,0,55,0,0,7795,0,0,0,0,0,0,1050,0,0,0,0,0,30,6330,0,0,0,0,0,0,75,0,0,0,0,0,0,140,0,30,20,0,0,0,0,80,0,0,45
"Manitoulin",0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,3430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0
"Middlesex",0,140,120,405,0,0,95,3810,230,45,0,40,110,0,210,185,0,1135,0,20,1380,0,0,0,0,162175,40,65,20,0,155,5280,0,535,1990,0,0,0,0,0,95,0,0,50,0,1055,900,260,200
"Muskoka",0,0,0,0,0,0,30,0,0,0,0,0,0,135,85,30,0,0,25,0,0,0,0,0,0,0,17155,20,35,0,0,0,345,175,0,20,0,0,0,0,1255,0,0,0,20,535,40,35,260
"Niagara",0,275,50,0,20,0,140,0,20,20,25,0,1000,0,6125,11845,20,0,0,20,40,0,0,0,0,170,0,144485,0,0,125,55,0,2495,0,0,0,0,0,0,100,0,0,0,0,2395,515,270,490
"Nipissing",0,0,0,0,135,0,0,0,0,0,480,0,0,0,0,30,30,0,0,30,0,0,0,0,0,0,50,25,27295,0,65,0,540,40,0,0,0,0,0,55,20,0,145,0,140,105,25,0,35
"Northumberland",0,0,0,0,0,0,3835,0,0,100,0,0,0,0,35,20,2690,0,75,35,0,0,0,45,0,20,0,0,0,18100,95,0,0,170,0,1950,0,65,0,0,35,0,0,0,0,1380,20,0,285
